NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3512; Contra Costa County; California,06013351200,351200,320.0,0.0375,0.05282219250462909
Census Tract 3521.01; Contra Costa County; California,06013352101,352101,165.0,0.030303030303030304,0.07122773488882136
Census Tract 3521.02; Contra Costa County; California,06013352102,352102,430.0,0.0,0.044186046511627906
Census Tract 3522.01; Contra Costa County; California,06013352201,352201,514.0,0.24124513618677043,0.21800317166211342
Census Tract 3522.02; Contra Costa County; California,06013352202,352202,39.0,0.0,0.3333333333333333
Census Tract 3530.01; Contra Costa County; California,06013353001,353001,189.0,0.042328042328042326,0.056538280607060835
Census Tract 3530.02; Contra Costa County; California,06013353002,353002,218.0,0.0,0.05963302752293578
Census Tract 3540.01; Contra Costa County; California,06013354001,354001,124.0,0.0,0.10483870967741936
Census Tract 3540.02; Contra Costa County; California,06013354002,354002,410.0,0.11707317073170732,0.20281422767120053
Census Tract 3551.07; Contra Costa County; California,06013355107,355107,1722.0,0.09291521486643438,0.06234020095241838
Census Tract 3551.09; Contra Costa County; California,06013355109,355109,721.0,0.17198335644937587,0.190584991080129
Census Tract 3551.10; Contra Costa County; California,06013355110,355110,881.0,0.026106696935300794,0.05517343059362279
Census Tract 3551.11; Contra Costa County; California,06013355111,355111,1984.0,0.1003024193548387,0.0977684655392318
Census Tract 3551.12; Contra Costa County; California,06013355112,355112,289.0,0.07958477508650519,0.12637219802134764
Census Tract 3551.13; Contra Costa County; California,06013355113,355113,418.0,0.0,0.045454545454545456
Census Tract 3551.15; Contra Costa County; California,06013355115,355115,784.0,0.1683673469387755,0.23944564017247089
Census Tract 3551.18; Contra Costa County; California,06013355118,355118,1258.0,0.0,0.010333863275039745
Census Tract 3551.19; Contra Costa County; California,06013355119,355119,1082.0,0.16728280961182995,0.23062054619559327
Census Tract 3551.20; Contra Costa County; California,06013355120,355120,855.0,0.007017543859649123,0.03505377407007247
Census Tract 3551.21; Contra Costa County; California,06013355121,355121,209.0,0.0,0.09090909090909091
Census Tract 3551.22; Contra Costa County; California,06013355122,355122,343.0,0.10495626822157435,0.1257012874589881
Census Tract 3551.23; Contra Costa County; California,06013355123,355123,108.0,0.5833333333333334,0.5611722037868612
Census Tract 3551.24; Contra Costa County; California,06013355124,355124,59.0,0.0,0.22033898305084745
Census Tract 3551.25; Contra Costa County; California,06013355125,355125,340.0,0.2235294117647059,0.20440596515164686
Census Tract 3551.26; Contra Costa County; California,06013355126,355126,273.0,0.0,0.0695970695970696
