NAME,GEOID,GEO_ID,tract,total,pct_nh_other,pct_nh_other_moe,pct_nh_other_moe_ratio
Census Tract 3452.05; Contra Costa County; California,06013345205,1400000US06013345205,345205,5779.0,,0.05752528015851492,0.5979111403526218
Census Tract 3452.06; Contra Costa County; California,06013345206,1400000US06013345206,345206,3622.0,,0.07364948531347797,0.6946834265766073
Census Tract 3461.01; Contra Costa County; California,06013346101,1400000US06013346101,346101,3364.0,,0.01902424674176463,0.5871336333880387
Census Tract 3461.02; Contra Costa County; California,06013346102,1400000US06013346102,346102,5396.0,,0.0364435893533956,0.532925767346674
Census Tract 3462.03; Contra Costa County; California,06013346203,1400000US06013346203,346203,4033.0,,0.022198560086010528,0.5968452855125363
Census Tract 3462.04; Contra Costa County; California,06013346204,1400000US06013346204,346204,7894.0,,0.02562934163049524,0.7465609698565662
Census Tract 3462.05; Contra Costa County; California,06013346205,1400000US06013346205,346205,4325.0,,0.022053420488797083,0.8671003964913399
Census Tract 3462.06; Contra Costa County; California,06013346206,1400000US06013346206,346206,3216.0,,0.017895170910194106,0.8105756288335809
Census Tract 3470; Contra Costa County; California,06013347000,1400000US06013347000,347000,6724.0,,0.03071151757310287,0.5281438469604698
Census Tract 3480; Contra Costa County; California,06013348000,1400000US06013348000,348000,4819.0,,0.04186711222896405,0.5309410890299414
Census Tract 3490; Contra Costa County; California,06013349000,1400000US06013349000,349000,5815.0,,0.023846450748354144,0.5193524760362522
Census Tract 3500; Contra Costa County; California,06013350000,1400000US06013350000,350000,6150.0,,0.03509223961904845,0.49273350150033784
Census Tract 3511.01; Contra Costa County; California,06013351101,1400000US06013351101,351101,2737.0,,0.017026780282117928,1.035606614047928
Census Tract 3511.03; Contra Costa County; California,06013351103,1400000US06013351103,351103,1929.0,,0.01347848626231208,inf
Census Tract 3511.04; Contra Costa County; California,06013351104,1400000US06013351104,351104,1667.0,,0.021986533906900765,2.0361973346001987
Census Tract 3511.05; Contra Costa County; California,06013351105,1400000US06013351105,351105,1814.0,,0.05093896646239932,0.993583711427875
Census Tract 3512; Contra Costa County; California,06013351200,1400000US06013351200,351200,5525.0,,0.024525638425506983,0.48918466534630356
Census Tract 3521.01; Contra Costa County; California,06013352101,1400000US06013352101,352101,3628.0,0.07717750826901874,0.025640741514541834,0.33223075076699204
Census Tract 3521.02; Contra Costa County; California,06013352102,1400000US06013352102,352102,5187.0,0.0771158665895508,0.026409838009594015,0.3424695743894104
Census Tract 3522.01; Contra Costa County; California,06013352201,1400000US06013352201,352201,6070.0,,0.02442433901447114,0.4519992006641458
Census Tract 3522.02; Contra Costa County; California,06013352202,1400000US06013352202,352202,2674.0,,0.05682224644701297,0.6753008311080564
Census Tract 3530.01; Contra Costa County; California,06013353001,1400000US06013353001,353001,4420.0,,0.09921744421029355,0.6767609620516937
Census Tract 3530.02; Contra Costa County; California,06013353002,1400000US06013353002,353002,4182.0,,0.04186075868974891,0.5835389761350999
Census Tract 3540.01; Contra Costa County; California,06013354001,1400000US06013354001,354001,2396.0,,0.038971293608166216,0.7238389107377229
Census Tract 3540.02; Contra Costa County; California,06013354002,1400000US06013354002,354002,6943.0,,0.04210446431128181,0.4504334294502767
Census Tract 3551.07; Contra Costa County; California,06013355107,1400000US06013355107,355107,5607.0,,0.030159616151079493,0.431390223875262
Census Tract 3551.09; Contra Costa County; California,06013355109,1400000US06013355109,355109,7471.0,,0.08500992122340796,0.6042903153759095
Census Tract 3551.10; Contra Costa County; California,06013355110,1400000US06013355110,355110,4112.0,,0.049888794251633894,0.771213240461348
Census Tract 3551.11; Contra Costa County; California,06013355111,1400000US06013355111,355111,6569.0,,0.03427478139242798,0.574364895323621
Census Tract 3551.12; Contra Costa County; California,06013355112,1400000US06013355112,355112,5800.0,,0.024836429188585994,0.4866597611276985
Census Tract 3551.13; Contra Costa County; California,06013355113,1400000US06013355113,355113,5423.0,,0.031910487109433575,0.4304740586926823
Census Tract 3551.15; Contra Costa County; California,06013355115,1400000US06013355115,355115,10013.0,0.06241885548786578,0.022084183677953735,0.3538062898677612
Census Tract 3551.18; Contra Costa County; California,06013355118,1400000US06013355118,355118,3769.0,,0.05239946543371383,0.5547572618529983
Census Tract 3551.19; Contra Costa County; California,06013355119,1400000US06013355119,355119,5288.0,,0.05511048127192095,0.5094829107795769
Census Tract 3551.20; Contra Costa County; California,06013355120,1400000US06013355120,355120,4036.0,,0.05138988527829925,0.8678224978377228
Census Tract 3551.21; Contra Costa County; California,06013355121,1400000US06013355121,355121,6409.0,,0.026527091378241316,0.8854798366830655
Census Tract 3551.22; Contra Costa County; California,06013355122,1400000US06013355122,355122,5559.0,,0.035149660130402535,0.46857784332112157
Census Tract 3551.23; Contra Costa County; California,06013355123,1400000US06013355123,355123,3333.0,,0.08884388407746995,0.6273658170131511
Census Tract 3551.24; Contra Costa County; California,06013355124,1400000US06013355124,355124,4601.0,,0.021551369485671715,0.7032471702381246
Census Tract 3551.25; Contra Costa County; California,06013355125,1400000US06013355125,355125,4096.0,,0.017625096346584337,0.45691389009879396
Census Tract 3551.26; Contra Costa County; California,06013355126,1400000US06013355126,355126,5773.0,,0.012247986961496309,0.7856403192079799
Census Tract 3552.01; Contra Costa County; California,06013355201,1400000US06013355201,355201,8114.0,,0.06597862289045248,0.5490774832134682
Census Tract 3552.02; Contra Costa County; California,06013355202,1400000US06013355202,355202,3981.0,,0.024042543884247584,0.6986377168116032
Census Tract 3553.02; Contra Costa County; California,06013355302,1400000US06013355302,355302,3454.0,,0.03519335820723033,0.5043894574596414
Census Tract 3553.06; Contra Costa County; California,06013355306,1400000US06013355306,355306,4550.0,,0.04582204627829071,0.5011786311688046
Census Tract 3553.07; Contra Costa County; California,06013355307,1400000US06013355307,355307,4397.0,,0.133635860294425,0.9253494137237587
Census Tract 3553.08; Contra Costa County; California,06013355308,1400000US06013355308,355308,3570.0,,0.026936057673760665,0.6724596216456333
Census Tract 3553.09; Contra Costa County; California,06013355309,1400000US06013355309,355309,5150.0,,0.04556601484882873,0.7287732188554905
Census Tract 3553.10; Contra Costa County; California,06013355310,1400000US06013355310,355310,3070.0,,0.03738521037238502,0.7218402254290692
Census Tract 3560.01; Contra Costa County; California,06013356001,1400000US06013356001,356001,4025.0,,0.10602426883898476,0.7332434399946971
Census Tract 3560.02; Contra Costa County; California,06013356002,1400000US06013356002,356002,5688.0,,0.028023086880497303,0.5330947096196276
Census Tract 3570; Contra Costa County; California,06013357000,1400000US06013357000,357000,3458.0,,0.024609786958616927,0.7598271723472976
Census Tract 3580; Contra Costa County; California,06013358000,1400000US06013358000,358000,5859.0,,0.04488308851187948,0.48608135968780386
Census Tract 3591.02; Contra Costa County; California,06013359102,1400000US06013359102,359102,5061.0,,0.03584488975924203,0.6645091101521022
Census Tract 3591.03; Contra Costa County; California,06013359103,1400000US06013359103,359103,5435.0,,0.030744376842225144,0.5173241118807853
Census Tract 3591.04; Contra Costa County; California,06013359104,1400000US06013359104,359104,2537.0,,0.11102065274424032,0.8483716747353546
Census Tract 3591.05; Contra Costa County; California,06013359105,1400000US06013359105,359105,4927.0,,0.027121639367155514,0.50048058862163
Census Tract 3592.02; Contra Costa County; California,06013359202,1400000US06013359202,359202,6819.0,0.08007039155301364,0.029335453506370998,0.3663708012086883
Census Tract 3592.03; Contra Costa County; California,06013359203,1400000US06013359203,359203,7200.0,,0.029216548415327302,0.6594330676813686
Census Tract 3592.04; Contra Costa County; California,06013359204,1400000US06013359204,359204,4340.0,,0.05516425783890037,0.6061085544831079
Census Tract 3601.01; Contra Costa County; California,06013360101,1400000US06013360101,360101,4224.0,,0.03715198075283999,0.49977696401272653
Census Tract 3601.02; Contra Costa County; California,06013360102,1400000US06013360102,360102,5030.0,,0.03979257417613452,0.5606628798486181
Census Tract 3602; Contra Costa County; California,06013360200,1400000US06013360200,360200,5482.0,,0.08037846643146711,0.6019600450509599
Census Tract 3610; Contra Costa County; California,06013361000,1400000US06013361000,361000,4973.0,,0.03787590086398692,0.5009490824377845
Census Tract 3620; Contra Costa County; California,06013362000,1400000US06013362000,362000,2832.0,,0.027922443897613662,0.42743978982725345
Census Tract 3630; Contra Costa County; California,06013363000,1400000US06013363000,363000,7793.0,,0.01798264012405354,0.46098261344325403
Census Tract 3640.02; Contra Costa County; California,06013364002,1400000US06013364002,364002,5426.0,,0.03152231197310022,0.5607870975935797
Census Tract 3650.02; Contra Costa County; California,06013365002,1400000US06013365002,365002,5171.0,,0.0527958934215207,0.6334282247858087
Census Tract 3650.03; Contra Costa County; California,06013365003,1400000US06013365003,365003,5416.0,,0.07456413367992513,0.6329770344991764
Census Tract 3660.01; Contra Costa County; California,06013366001,1400000US06013366001,366001,4690.0,,0.031655688205697904,0.6109678094021529
Census Tract 3660.02; Contra Costa County; California,06013366002,1400000US06013366002,366002,6876.0,,0.08633533791859743,0.7915223780377013
Census Tract 3671; Contra Costa County; California,06013367100,1400000US06013367100,367100,5773.0,,0.056392432219993044,0.5319501817091827
Census Tract 3672; Contra Costa County; California,06013367200,1400000US06013367200,367200,5869.0,,0.02743273364451929,0.5402775629519588
Census Tract 3680.01; Contra Costa County; California,06013368001,1400000US06013368001,368001,5013.0,,0.038423492196419516,0.8196466654495789
Census Tract 3680.02; Contra Costa County; California,06013368002,1400000US06013368002,368002,4102.0,,0.019801001185682145,0.7885796782880404
Census Tract 3690.01; Contra Costa County; California,06013369001,1400000US06013369001,369001,7347.0,,0.06781900430723148,1.0902980845628658
Census Tract 3690.02; Contra Costa County; California,06013369002,1400000US06013369002,369002,2728.0,,0.05015827027012161,0.6875967904366419
